symbol,date,time,open,high,low,close,volume
LUPIN,2016-06-28,15:30:00,1475.00,1548.55,1475.00,1542.50,1927170
LUPIN,2016-06-29,15:30:00,1555.00,1558.70,1524.35,1531.00,910521
LUPIN,2016-06-30,15:30:00,1548.00,1554.00,1532.00,1544.80,1024791
LUPIN,2016-07-01,15:30:00,1545.00,1558.95,1542.05,1554.00,514431
LUPIN,2016-07-04,15:30:00,1564.20,1575.00,1555.10,1567.00,757648
LUPIN,2016-07-05,15:30:00,1570.10,1571.45,1548.50,1562.00,412780
LUPIN,2016-07-07,15:30:00,1557.00,1698.00,1550.60,1684.00,1941050
LUPIN,2016-07-08,15:30:00,1701.00,1712.30,1622.75,1635.00,3341870
LUPIN,2016-07-11,15:30:00,1654.80,1673.90,1650.00,1667.10,800532
LUPIN,2016-07-12,15:30:00,1668.50,1684.00,1661.85,1672.00,717944
LUPIN,2016-07-13,15:30:00,1680.00,1685.00,1643.00,1645.00,848201
LUPIN,2016-07-14,15:30:00,1650.00,1664.00,1640.30,1660.30,482010
LUPIN,2016-07-15,15:30:00,1658.55,1687.95,1650.50,1670.00,822563
LUPIN,2016-07-18,15:30:00,1670.15,1689.50,1660.45,1665.00,627514
LUPIN,2016-07-19,15:30:00,1664.90,1701.80,1662.00,1700.00,810759
LUPIN,2016-07-20,15:30:00,1705.00,1724.00,1693.55,1721.00,1228199
LUPIN,2016-07-21,15:30:00,1729.80,1736.70,1681.90,1695.00,1531978
LUPIN,2016-07-22,15:30:00,1691.75,1704.90,1678.25,1700.05,520314
LUPIN,2016-07-25,15:30:00,1708.70,1724.50,1699.50,1715.00,730291
LUPIN,2016-07-26,15:30:00,1712.20,1715.15,1694.05,1694.05,1442774
LUPIN,2016-07-27,15:30:00,1696.30,1740.00,1668.80,1720.35,1857306
LUPIN,2016-07-28,15:30:00,1735.00,1743.00,1696.80,1703.00,840430
LUPIN,2016-07-29,15:30:00,1706.00,1750.00,1703.80,1743.00,689102
LUPIN,2016-08-01,15:30:00,1743.00,1747.90,1705.75,1726.50,987009
LUPIN,2016-08-02,15:30:00,1741.00,1745.00,1697.00,1704.00,620695
LUPIN,2016-08-03,15:30:00,1713.95,1718.40,1673.60,1677.00,820971
LUPIN,2016-08-04,15:30:00,1670.00,1678.65,1642.00,1661.00,947868
LUPIN,2016-08-05,15:30:00,1665.50,1694.00,1661.55,1670.45,589782
LUPIN,2016-08-08,15:30:00,1687.00,1712.00,1673.40,1695.00,648977
LUPIN,2016-08-09,15:30:00,1708.95,1728.25,1598.00,1599.90,7455908
LUPIN,2016-08-10,15:30:00,1600.00,1606.95,1540.00,1543.60,3599720
LUPIN,2016-08-11,15:30:00,1560.40,1585.70,1551.05,1577.50,2287754
LUPIN,2016-08-12,15:30:00,1590.50,1595.00,1572.00,1573.05,996548
LUPIN,2016-08-16,15:30:00,1597.00,1599.90,1577.05,1591.00,890909
LUPIN,2016-08-17,15:30:00,1592.00,1605.00,1572.05,1593.05,783772
LUPIN,2016-08-18,15:30:00,1600.00,1607.95,1585.20,1586.20,605628
