symbol,date,time,open,high,low,close,volume
GRASIM,2016-06-28,15:30:00,4375.50,4473.50,4375.50,4455.00,113558
GRASIM,2016-06-29,15:30:00,4462.55,4501.05,4450.00,4500.00,115723
GRASIM,2016-06-30,15:30:00,4497.55,4697.80,4475.00,4640.00,270874
GRASIM,2016-07-01,15:30:00,4656.00,4675.00,4627.40,4644.00,143104
GRASIM,2016-07-04,15:30:00,4648.00,4670.00,4569.30,4579.90,91078
GRASIM,2016-07-05,15:30:00,4586.00,4611.30,4524.95,4547.00,84640
GRASIM,2016-07-07,15:30:00,4544.90,4570.00,4520.00,4549.95,56358
GRASIM,2016-07-08,15:30:00,4542.00,4578.30,4523.75,4531.55,153156
GRASIM,2016-07-11,15:30:00,4553.10,4607.75,4550.00,4557.40,102230
GRASIM,2016-07-12,15:30:00,4570.10,4710.60,4556.05,4641.50,137348
GRASIM,2016-07-13,15:30:00,4644.00,4652.95,4605.00,4618.60,71148
GRASIM,2016-07-14,15:30:00,4627.70,4775.00,4616.05,4766.00,170611
GRASIM,2016-07-15,15:30:00,4809.00,4845.55,4745.00,4802.00,140970
GRASIM,2016-07-18,15:30:00,4828.90,4848.70,4772.00,4786.05,57159
GRASIM,2016-07-19,15:30:00,4825.00,4825.00,4745.65,4770.00,65466
GRASIM,2016-07-20,15:30:00,4785.00,4861.80,4773.20,4820.70,169600
GRASIM,2016-07-21,15:30:00,4844.00,4935.00,4821.65,4896.15,166546
GRASIM,2016-07-22,15:30:00,4903.00,4949.90,4851.00,4892.00,127237
GRASIM,2016-07-25,15:30:00,4895.00,4912.70,4840.70,4843.80,101107
GRASIM,2016-07-26,15:30:00,4861.00,4903.00,4847.00,4853.00,62598
GRASIM,2016-07-27,15:30:00,4856.45,4919.00,4853.00,4868.00,81729
GRASIM,2016-07-28,15:30:00,4870.10,4918.50,4820.80,4855.00,178610
GRASIM,2016-07-29,15:30:00,4860.00,4917.00,4836.95,4900.00,100837
GRASIM,2016-08-01,15:30:00,4912.00,5019.00,4912.00,5015.10,73692
GRASIM,2016-08-02,15:30:00,5000.00,5046.05,4970.55,4995.00,126850
GRASIM,2016-08-03,15:30:00,4995.00,5010.00,4928.45,4969.95,58514
